ID,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,kaelteempfindlich,Studienfach,Geschlecht,Geb_Monat,Geb_Tag,Alter
51,3,3,5,5,7,9,10,10,9,8,5,4,9,1,0,10,16,20
52,6,7,8,7,6,5,4,4,6,9,9,7,2,0,1,11,6,21
53,3,2,3,4,7,10,10,9,9,8,2,2,5,1,1,8,5,19
54,3,1,3,1,7,8,9,10,6,1,1,8,8,1,0,3,7,29
55,2,2,3,4,8,10,10,10,8,6,1,5,9,0,0,5,8,20
56,5,7,5,6,9,8,10,10,7,7,7,6,10,1,0,5,27,19
57,3,4,5,6,7,9,10,8,8,7,4,5,3,0,1,2,7,20
58,3,2,5,4,5,10,4,8,6,5,2,2,9,0,0,6,27,20
59,5,6,7,8,9,9,7,5,10,9,6,5,5,0,0,9,19,20
60,2,2,4,7,10,9,8,9,9,7,3,4,7,0,0,5,13,18
61,5,5,6,7,8,9,9,10,10,5,5,9,6,1,0,9,5,23
62,7,3,4,4,4,8,9,10,9,7,4,10,10,0,0,6,12,23
63,5,5,6,7,8,8,7,6,8,9,8,6,5,0,1,11,12,26
64,5,6,8,8,9,9,8,7,9,8,8,6,4,1,1,11,1,23
65,3,3,7,3,5,5,6,10,9,5,3,6,4,0,0,8,3,22
66,4,2,5,6,8,9,10,10,9,5,5,5,4,1,0,11,9,20
67,4,1,1,6,10,10,7,7,10,3,7,9,9,0,0,11,17,19
68,2,1,1,5,9,9,10,10,9,5,1,5,7,0,0,5,19,20
69,2,1,3,5,10,10,10,10,8,7,7,7,5,0,0,11,29,29
70,7,3,4,5,5,6,6,7,9,10,6,5,2,0,1,1,13,20
71,1,3,2,6,6,8,9,10,9,4,2,4,10,1,0,2,27,19
72,3,5,3,6,7,8,9,10,7,10,8,8,6,0,0,10,18,18
73,5,4,9,9,9,10,10,10,8,5,4,9,6,0,0,3,4,20
74,5,3,7,7,7,9,8,8,9,7,6,8,8,1,1,6,21,22
75,5,3,5,1,8,7,10,9,4,6,8,10,7,1,1,11,30,20
76,3,4,5,7,8,9,9,9,8,8,5,5,4,0,0,8,6,20
77,2,1,3,10,8,8,8,8,10,9,4,5,9,0,0,9,21,26
78,7,6,6,7,10,10,8,8,9,10,8,8,2,1,1,6,14,21
79,7,7,10,4,7,8,8,7,8,5,5,9,4,1,1,3,10,21
80,3,4,4,4,10,10,10,8,4,4,3,8,8,1,0,7,23,20
81,3,3,9,6,7,9,10,10,9,8,3,10,9,0,0,3,28,20
82,1,0,10,8,9,8,1,1,10,10,9,10,4,0,0,5,16,22
83,9,5,6,6,8,10,10,9,7,6,7,9,10,0,0,12,16,22
84,4,3,5,6,9,10,10,10,10,7,5,8,4,1,1,12,30,21
85,7,6,8,9,10,10,9,10,8,9,6,9,3,0,0,7,27,20
86,8,8,7,7,9,8,4,4,6,6,7,10,8,0,0,7,9,26
87,1,3,5,6,7,8,8,9,7,5,4,6,5,1,1,3,14,21
88,2,3,5,5,7,8,9,10,8,6,4,5,8,0,0,8,18,20
89,10,9,3,4,8,9,10,10,9,3,8,10,10,1,0,1,26,25
90,3,2,6,4,5,8,9,9,7,7,6,9,7,0,0,6,17,19
91,1,1,2,3,5,6,7,9,10,8,6,2,6,0,0,5,11,20
92,5,5,8,9,10,8,7,7,8,7,3,6,8,1,0,10,7,20
93,5,8,6,7,7,9,10,10,8,6,8,10,8,0,0,7,25,19
94,2,5,4,5,7,9,9,9,4,4,4,2,9,0,1,6,25,20
95,3,2,4,6,8,10,10,10,8,8,2,8,9,1,0,10,20,24
96,2,5,8,9,10,3,4,5,7,6,1,8,4,0,0,8,25,33
97,7,6,8,9,8,8,8,9,7,8,7,9,2,1,0,12,22,20
98,4,3,6,5,7,9,10,10,9,9,7,10,,1,0,7,7,22
99,8,10,5,,4,7,8,9,4,8,2,7,3,1,1,8,3,19
100,8,7,7,6,6,8,8,6,7,7,6,6,3,0,0,11,5,25
101,3,8,5,6,7,8,9,10,8,2,1,5,5,0,1,2,18,23
102,2,5,4,8,9,9,10,10,10,9,2,5,4,0,1,4,4,20
103,7,3,8,6,10,9,8,9,7,8,6,5,3,0,0,10,21,18
104,5,9,6,7,8,10,10,10,9,6,3,6,9,1,0,7,27,20
106,3,4,5,0,0,8,9,10,10,8,5,5,6,0,1,10,16,25
107,3,4,4,9,10,10,10,8,8,6,2,8,9,0,0,4,2,24
108,2,2,3,7,8,7,7,9,8,8,5,5,2,1,1,8,19,18
109,5,6,8,8,9,9,8,7,9,8,8,6,4,1,1,11,1,23
110,3,2,3,5,7,10,9,10,8,5,4,6,1,1,1,6,14,24
111,5,4,6,6,9,8,9,10,9,8,6,9,9,1,1,10,20,24
112,4,4,5,10,10,10,10,10,10,9,8,9,3,0,0,4,1,21
113,2,2,4,2,9,7,6,8,9,6,4,10,6,1,1,5,28,29
114,4,3,4,7,8,10,9,9,9,7,5,5,9,0,0,8,15,19
115,2,2,5,5,6,7,10,10,7,7,7,10,3,0,0,7,2,21
116,1,1,1,1,1,1,2,10,10,1,1,1,10,1,0,10,18,22
