"";"Preis";"Typ";"Getriebe";"PS";"kilometer";"Kraftstoff";"Marke";"alter";"brandModel"
"45";3200;"kombi";"manuell";101;150000;"diesel";"opel";10;"opel_astra"
"46";14500;"limousine";"manuell";211;125000;"benzin";"volkswagen";6;"volkswagen_golf"
"47";20000;"coupe";"automatik";204;60000;"diesel";"mercedes_benz";7;"mercedes_benz_e_klasse"
"48";5500;"kombi";"manuell";179;150000;"diesel";"audi";11;"audi_a6"
"49";270;"kleinwagen";"manuell";75;150000;"benzin";"volkswagen";23;"volkswagen_golf"
"50";1690;"kombi";"manuell";101;150000;"benzin";"opel";16;"opel_astra"
"51";2800;"limousine";"manuell";170;150000;"benzin";"bmw";18;"bmw_5er"
"52";5890;"kombi";"manuell";140;150000;"diesel";"audi";10;"audi_a4"
"53";8800;"kleinwagen";"manuell";75;70000;"diesel";"kia";3;"kia_rio"
"54";41250;"coupe";"manuell";325;70000;"benzin";"porsche";8;"porsche_911"
"55";500;"kleinwagen";"manuell";54;150000;"benzin";"opel";18;"opel_corsa"
"56";1599;"cabrio";"manuell";110;150000;"diesel";"volkswagen";18;"volkswagen_golf"
"57";13990;"limousine";"automatik";170;1e+07;"diesel";"seat";6;"seat_leon"
"58";3700;"limousine";"manuell";116;150000;"diesel";"mercedes_benz";13;"mercedes_benz_c_klasse"
"59";5900;"kombi";"automatik";111;40000;"benzin";"renault";8;"renault_clio"
"60";4100;"suv";"automatik";190;150000;"benzin";"jeep";16;"jeep_grand"
"61";8400;"coupe";"manuell";160;125000;"benzin";"volkswagen";8;"volkswagen_scirocco"
"62";3690;"cabrio";"manuell";109;80000;"benzin";"peugeot";10;"peugeot_2_reihe"
"63";1199;"limousine";"automatik";95;150000;"diesel";"mercedes_benz";15;"mercedes_benz_a_klasse"
"64";5400;"kleinwagen";"manuell";77;90000;"benzin";"fiat";6;"fiat_punto"
"65";9950;"cabrio";"manuell";170;150000;"benzin";"bmw";11;"bmw_z_reihe"
"66";7000;"suv";"automatik";174;150000;"diesel";"volkswagen";8;"volkswagen_touareg"
"67";8700;"bus";"manuell";106;70000;"benzin";"renault";4;"renault_kangoo"
"68";6500;"limousine";"manuell";80;80000;"benzin";"volkswagen";10;"volkswagen_golf"
"69";1690;"kleinwagen";"manuell";82;125000;"diesel";"hyundai";12;"hyundai_getz"
"70";12700;"bus";"manuell";105;60000;"benzin";"volkswagen";3;"volkswagen_touran"
"71";2350;"kombi";"manuell";116;150000;"diesel";"ford";13;"ford_mondeo"
"72";11500;"kombi";"automatik";233;150000;"diesel";"audi";10;"audi_a6"
"73";3600;"cabrio";"manuell";110;150000;"benzin";"mazda";13;"mazda_mx_reihe"
"74";8500;"kleinwagen";"manuell";87;20000;"benzin";"opel";4;"opel_corsa"
"75";15790;"kombi";"manuell";211;90000;"benzin";"audi";8;"audi_a4"
"76";1800;"limousine";"manuell";75;90000;"benzin";"opel";20;"opel_vectra"
"77";1550;"kleinwagen";"manuell";101;150000;"benzin";"mercedes_benz";18;"mercedes_benz_a_klasse"
"78";5950;"limousine";"manuell";105;70000;"benzin";"alfa_romeo";6;"alfa_romeo_147"
"79";7999;"kombi";"automatik";102;40000;"benzin";"audi";11;"audi_a3"
"80";15399;"kleinwagen";"manuell";105;40000;"benzin";"seat";2;"seat_ibiza"
"81";950;"cabrio";"manuell";75;150000;"benzin";"volkswagen";20;"volkswagen_golf"
"82";5499;"kleinwagen";"manuell";69;90000;"benzin";"volkswagen";8;"volkswagen_polo"
"83";999;"kleinwagen";"manuell";60;125000;"benzin";"volkswagen";20;"volkswagen_golf"
"84";5800;"kleinwagen";"manuell";60;125000;"benzin";"volkswagen";6;"volkswagen_polo"
"85";9250;"limousine";"manuell";102;90000;"benzin";"volkswagen";8;"volkswagen_golf"
"86";3350;"limousine";"manuell";116;150000;"benzin";"bmw";14;"bmw_3er"
"87";2450;"kombi";"manuell";131;150000;"diesel";"ford";10;"ford_mondeo"
"88";2630;"limousine";"manuell";170;150000;"benzin";"bmw";18;"bmw_5er"
"89";4850;"kombi";"automatik";131;150000;"diesel";"volkswagen";13;"volkswagen_passat"
"90";2900;"limousine";"manuell";125;150000;"benzin";"mercedes_benz";15;"mercedes_benz_a_klasse"
"91";4200;"kleinwagen";"manuell";92;70000;"benzin";"suzuki";8;"suzuki_swift"
"92";2850;"kleinwagen";"manuell";105;150000;"benzin";"opel";11;"opel_astra"
"93";3500;"limousine";"automatik";204;150000;"benzin";"mercedes_benz";19;"mercedes_benz_e_klasse"
"94";14900;"coupe";"automatik";116;40000;"benzin";"mercedes_benz";6;"mercedes_benz_a_klasse"
"95";16990;"kombi";"automatik";118;5000;"benzin";"renault";0;"renault_clio"
"96";800;"kombi";"manuell";165;150000;"benzin";"volvo";16;"volvo_v40"
"97";9500;"kombi";"automatik";140;125000;"diesel";"volkswagen";10;"volkswagen_passat"
"98";1400;"kombi";"manuell";170;150000;"benzin";"opel";16;"opel_vectra"
"99";9495;"limousine";"manuell";125;125000;"diesel";"opel";7;"opel_astra"
"100";4000;"kombi";"manuell";150;150000;"benzin";"audi";14;"audi_a4"
"101";2850;"limousine";"manuell";150;150000;"benzin";"volkswagen";18;"volkswagen_golf"
"102";14800;"suv";"automatik";140;90000;"diesel";"volkswagen";8;"volkswagen_tiguan"
"103";9500;"limousine";"automatik";239;125000;"diesel";"audi";5;"audi_a5"
"104";5000;"kombi";"manuell";120;5000;"diesel";"opel";10;"opel_astra"
"105";16999;"limousine";"automatik";122;50000;"benzin";"mercedes_benz";3;"mercedes_benz_a_klasse"
"106";3990;"bus";"manuell";75;125000;"diesel";"ford";10;"ford_fusion"
"107";2199;"limousine";"automatik";114;150000;"benzin";"nissan";15;"nissan_almera"
"108";5250;"limousine";"automatik";193;150000;"diesel";"bmw";13;"bmw_5er"
"109";6500;"kleinwagen";"manuell";69;40000;"benzin";"volkswagen";8;"volkswagen_polo"
"110";3300;"kleinwagen";"manuell";90;150000;"benzin";"mini";13;"mini_one"
"111";3299;"kombi";"manuell";170;150000;"benzin";"volkswagen";12;"volkswagen_passat"
"112";4500;"kleinwagen";"manuell";75;70000;"benzin";"renault";9;"renault_clio"
"113";3300;"limousine";"manuell";122;150000;"benzin";"mercedes_benz";18;"mercedes_benz_c_klasse"
"114";7200;"kleinwagen";"manuell";69;70000;"benzin";"opel";4;"opel_corsa"
"115";12900;"kleinwagen";"manuell";90;60000;"diesel";"audi";5;"audi_a1"
"116";2500;"limousine";"manuell";105;150000;"benzin";"seat";13;"seat_leon"
"117";2850;"limousine";"manuell";102;150000;"benzin";"audi";15;"audi_a3"
"118";5990;"suv";"manuell";150;150000;"benzin";"honda";12;"honda_cr_reihe"
"119";24399;"coupe";"manuell";300;1e+07;"benzin";"porsche";15;"porsche_911"
"120";4190;"kleinwagen";"manuell";73;50000;"benzin";"peugeot";7;"peugeot_2_reihe"
"121";5999;"limousine";"manuell";155;150000;"diesel";"ford";10;"ford_mondeo"
"122";2980;"limousine";"manuell";136;150000;"diesel";"peugeot";11;"peugeot_4_reihe"
"123";1999;"limousine";"automatik";125;150000;"diesel";"mercedes_benz";16;"mercedes_benz_c_klasse"
"124";6000;"coupe";"automatik";218;150000;"benzin";"mercedes_benz";38;"mercedes_benz_sl"
"125";15499;"limousine";"automatik";122;60000;"benzin";"volkswagen";4;"volkswagen_golf"
"126";20999;"limousine";"manuell";235;60000;"benzin";"volkswagen";5;"volkswagen_golf"
"127";8690;"limousine";"manuell";80;60000;"benzin";"volkswagen";5;"volkswagen_golf"
"128";1290;"kleinwagen";"manuell";75;125000;"benzin";"daewoo";12;"daewoo_kalos"
"129";2850;"bus";"automatik";174;150000;"benzin";"mercedes_benz";18;"mercedes_benz_v_klasse"
"130";1850;"kleinwagen";"automatik";41;150000;"diesel";"smart";15;"smart_fortwo"
"131";6450;"limousine";"automatik";245;150000;"benzin";"mercedes_benz";13;"mercedes_benz_s_klasse"
"132";1100;"kombi";"automatik";143;150000;"diesel";"mercedes_benz";15;"mercedes_benz_e_klasse"
"133";5850;"kleinwagen";"manuell";60;70000;"diesel";"peugeot";31;"peugeot_2_reihe"
"134";4500;"cabrio";"automatik";61;1e+07;"benzin";"smart";10;"smart_roadster"
"135";5000;"kleinwagen";"manuell";75;60000;"benzin";"renault";5;"renault_twingo"
"136";5899;"kombi";"manuell";105;125000;"benzin";"opel";9;"opel_astra"
"137";3600;"limousine";"manuell";101;70000;"benzin";"volkswagen";15;"volkswagen_passat"
"138";8350;"cabrio";"manuell";135;150000;"lpg";"renault";7;"renault_megane"
"139";7300;"bus";"manuell";125;1e+07;"benzin";"seat";6;"seat_altea"
"140";1200;"kleinwagen";"manuell";65;150000;"benzin";"opel";17;"opel_corsa"
"141";1250;"kleinwagen";"manuell";60;150000;"benzin";"fiat";13;"fiat_punto"
"142";1450;"limousine";"manuell";60;125000;"benzin";"volkswagen";19;"volkswagen_golf"
"143";3000;"bus";"manuell";115;150000;"diesel";"seat";15;"seat_alhambra"
"144";2000;"kombi";"manuell";101;150000;"benzin";"volkswagen";20;"volkswagen_passat"
"145";600;"kombi";"manuell";60;150000;"benzin";"volkswagen";17;"volkswagen_polo"
"146";10299;"bus";"manuell";140;150000;"diesel";"ford";5;"ford_c_max"
"147";8690;"limousine";"automatik";140;150000;"diesel";"audi";9;"audi_a3"
"148";18000;"limousine";"automatik";163;50000;"diesel";"opel";2;"opel_insignia"
"149";10500;"limousine";"manuell";122;30000;"benzin";"volkswagen";6;"volkswagen_golf"
"150";19500;"coupe";"manuell";160;50000;"benzin";"audi";6;"audi_tt"
"151";1990;"bus";"manuell";98;150000;"diesel";"mercedes_benz";20;"mercedes_benz_v_klasse"
"152";10900;"cabrio";"manuell";143;150000;"benzin";"bmw";8;"bmw_1er"
"153";4250;"limousine";"manuell";105;125000;"benzin";"mazda";10;"mazda_3_reihe"
"154";1650;"kleinwagen";"manuell";60;90000;"benzin";"nissan";16;"nissan_micra"
"155";1750;"bus";"manuell";82;150000;"benzin";"mercedes_benz";18;"mercedes_benz_a_klasse"
"156";950;"kleinwagen";"manuell";45;150000;"benzin";"volkswagen";26;"volkswagen_polo"
"157";440;"kleinwagen";"manuell";46;150000;"benzin";"opel";22;"opel_corsa"
"158";1780;"bus";"manuell";125;150000;"benzin";"opel";14;"opel_zafira"
"159";19999;"cabrio";"automatik";272;150000;"benzin";"mercedes_benz";10;"mercedes_benz_sl"
"160";12999;"kombi";"manuell";102;150000;"diesel";"volkswagen";6;"volkswagen_transporter"
"161";4950;"cabrio";"manuell";90;80000;"benzin";"opel";11;"opel_tigra"
"162";7000;"kombi";"manuell";140;150000;"diesel";"audi";10;"audi_a3"
"163";1199;"kleinwagen";"manuell";75;150000;"benzin";"renault";13;"renault_twingo"
"164";26999;"bus";"manuell";177;20000;"diesel";"volkswagen";2;"volkswagen_sharan"
"165";50950;"suv";"automatik";256;20000;"diesel";"land_rover";2;"land_rover_discovery"
"166";9850;"kombi";"manuell";140;150000;"diesel";"skoda";4;"skoda_superb"
"167";1350;"kleinwagen";"manuell";65;150000;"benzin";"toyota";17;"toyota_yaris"
"168";2999;"kleinwagen";"automatik";75;150000;"benzin";"opel";12;"opel_corsa"
"169";1150;"kombi";"manuell";122;150000;"benzin";"volvo";17;"volvo_v40"
"170";9999;"kombi";"manuell";177;150000;"diesel";"bmw";10;"bmw_5er"
"171";10999;"limousine";"automatik";190;150000;"benzin";"audi";7;"audi_a6"
"172";5300;"kombi";"manuell";90;150000;"diesel";"hyundai";4;"hyundai_i_reihe"
"173";6900;"kombi";"manuell";131;150000;"diesel";"volkswagen";9;"volkswagen_transporter"
"174";3300;"suv";"manuell";59;70000;"benzin";"suzuki";18;"suzuki_jimny"
"175";2300;"limousine";"manuell";75;150000;"benzin";"volkswagen";14;"volkswagen_golf"
"176";8499;"bus";"manuell";140;150000;"diesel";"volkswagen";7;"volkswagen_sharan"
"177";800;"limousine";"manuell";113;150000;"benzin";"bmw";24;"bmw_3er"
"178";17000;"limousine";"automatik";235;150000;"diesel";"bmw";8;"bmw_x_reihe"
"179";8500;"limousine";"manuell";140;150000;"diesel";"seat";9;"seat_leon"
"180";1690;"kombi";"automatik";141;125000;"benzin";"chrysler";16;"chrysler_ptcruiser"
"181";6299;"limousine";"manuell";116;150000;"benzin";"bmw";12;"bmw_1er"
"182";2299;"kombi";"manuell";121;150000;"benzin";"chevrolet";10;"chevrolet_nubira"
"183";4850;"kombi";"manuell";136;125000;"diesel";"peugeot";11;"peugeot_3_reihe"
"184";15690;"suv";"manuell";163;50000;"benzin";"hyundai";5;"hyundai_i_reihe"
"185";7400;"limousine";"manuell";140;125000;"benzin";"honda";7;"honda_civic"
"186";3350;"kleinwagen";"manuell";86;150000;"benzin";"seat";9;"seat_ibiza"
"187";6500;"kombi";"automatik";177;150000;"diesel";"bmw";11;"bmw_5er"
"188";999;"kombi";"manuell";95;150000;"diesel";"mercedes_benz";18;"mercedes_benz_c_klasse"
"189";3490;"kombi";"manuell";131;150000;"diesel";"volkswagen";12;"volkswagen_golf"
"190";2750;"kleinwagen";"manuell";116;125000;"benzin";"volkswagen";17;"volkswagen_beetle"
"191";6000;"bus";"manuell";101;150000;"diesel";"renault";4;"renault_100"
"192";22900;"kombi";"automatik";190;125000;"diesel";"audi";6;"audi_a6"
"193";11499;"kleinwagen";"manuell";86;70000;"benzin";"audi";5;"audi_a1"
"194";8000;"limousine";"manuell";122;150000;"diesel";"bmw";10;"bmw_3er"
"195";8800;"kombi";"manuell";170;125000;"diesel";"volkswagen";8;"volkswagen_golf"
"196";3990;"bus";"manuell";140;150000;"benzin";"opel";10;"opel_zafira"
"197";3990;"kombi";"automatik";122;150000;"diesel";"mercedes_benz";12;"mercedes_benz_c_klasse"
"198";2490;"limousine";"manuell";71;150000;"benzin";"volkswagen";25;"volkswagen_golf"
"199";13800;"suv";"manuell";103;1e+07;"diesel";"nissan";6;"nissan_qashqai"
"200";2950;"bus";"manuell";120;150000;"diesel";"renault";12;"renault_scenic"
"201";3199;"kleinwagen";"manuell";60;80000;"benzin";"ford";8;"ford_fiesta"
"202";1500;"kleinwagen";"manuell";75;125000;"benzin";"renault";16;"renault_clio"
"203";749;"kleinwagen";"manuell";68;150000;"benzin";"toyota";15;"toyota_yaris"
"204";2500;"kombi";"manuell";102;150000;"benzin";"audi";15;"audi_a4"
"205";890;"kleinwagen";"automatik";60;125000;"benzin";"opel";21;"opel_corsa"
"206";2300;"kombi";"automatik";170;150000;"benzin";"bmw";13;"bmw_3er"
"207";8000;"limousine";"manuell";120;80000;"benzin";"citroen";5;"citroen_c4"
"208";650;"kombi";"manuell";92;30000;"benzin";"opel";15;"opel_vectra"
"209";5800;"cabrio";"manuell";68;70000;"diesel";"citroen";7;"citroen_c3"
"210";5500;"bus";"automatik";125;60000;"benzin";"opel";11;"opel_meriva"
"211";22800;"limousine";"manuell";280;30000;"benzin";"seat";2;"seat_leon"
"212";9200;"cabrio";"automatik";163;150000;"diesel";"audi";12;"audi_a4"
"213";7900;"kombi";"manuell";116;125000;"diesel";"ford";5;"ford_focus"
"214";3400;"limousine";"manuell";200;150000;"benzin";"volkswagen";10;"volkswagen_golf"
"215";5600;"kleinwagen";"manuell";65;40000;"benzin";"nissan";6;"nissan_micra"
"216";6999;"kleinwagen";"manuell";92;50000;"benzin";"suzuki";6;"suzuki_swift"
"217";7890;"kombi";"automatik";140;150000;"diesel";"audi";9;"audi_a4"
"218";14500;"kombi";"automatik";218;125000;"benzin";"bmw";8;"bmw_3er"
"219";9250;"bus";"manuell";98;20000;"benzin";"peugeot";4;"peugeot_100"
"220";1450;"kombi";"manuell";75;150000;"benzin";"seat";16;"seat_cordoba"
"221";850;"limousine";"manuell";150;150000;"diesel";"audi";18;"audi_a6"
"222";3800;"kombi";"manuell";120;125000;"benzin";"ford";9;"ford_focus"
"223";19500;"suv";"manuell";140;60000;"diesel";"volkswagen";4;"volkswagen_tiguan"
"224";500;"limousine";"manuell";90;150000;"benzin";"volkswagen";24;"volkswagen_golf"
"225";2450;"kleinwagen";"manuell";95;150000;"diesel";"ford";12;"ford_fiesta"
"226";1050;"kleinwagen";"manuell";82;150000;"benzin";"nissan";16;"nissan_micra"
"227";4100;"bus";"manuell";75;80000;"cng";"volkswagen";10;"volkswagen_caddy"
"228";900;"cabrio";"manuell";85;150000;"benzin";"opel";19;"opel_astra"
"229";3450;"limousine";"manuell";120;150000;"diesel";"alfa_romeo";9;"alfa_romeo_147"
"230";950;"limousine";"manuell";75;1e+07;"benzin";"mitsubishi";20;"mitsubishi_colt"
"231";4900;"kleinwagen";"automatik";71;60000;"benzin";"smart";9;"smart_fortwo"
"232";29900;"suv";"automatik";241;70000;"diesel";"jeep";5;"jeep_cherokee"
"233";800;"limousine";"manuell";105;1e+07;"benzin";"alfa_romeo";15;"alfa_romeo_147"
"234";1690;"kleinwagen";"manuell";68;150000;"benzin";"skoda";16;"skoda_fabia"
"235";9600;"cabrio";"manuell";180;150000;"benzin";"audi";11;"audi_tt"
"236";3000;"limousine";"manuell";115;150000;"benzin";"bmw";16;"bmw_3er"
"237";4899;"cabrio";"manuell";150;150000;"diesel";"opel";10;"opel_astra"
"238";18900;"coupe";"automatik";330;125000;"benzin";"ford";10;"ford_mustang"
"239";2500;"limousine";"manuell";147;150000;"benzin";"opel";13;"opel_vectra"
"240";6690;"kombi";"manuell";110;1e+07;"diesel";"opel";6;"opel_astra"
"241";1800;"kleinwagen";"manuell";75;150000;"benzin";"volkswagen";24;"volkswagen_polo"
"242";11900;"suv";"automatik";218;150000;"diesel";"bmw";10;"bmw_x_reihe"
"243";850;"kleinwagen";"manuell";75;150000;"benzin";"honda";21;"honda_civic"
"244";500;"kleinwagen";"manuell";45;150000;"benzin";"opel";19;"opel_corsa"
"245";1800;"kombi";"manuell";68;150000;"diesel";"seat";14;"seat_cordoba"
"246";600;"kleinwagen";"manuell";45;150000;"hybrid";"opel";22;"opel_corsa"
"247";1450;"coupe";"manuell";90;150000;"benzin";"renault";17;"renault_megane"
"248";2500;"cabrio";"automatik";70;150000;"benzin";"volkswagen";37;"volkswagen_golf"
"249";15000;"kombi";"manuell";170;70000;"diesel";"seat";5;"seat_exeo"
"250";1500;"limousine";"manuell";82;150000;"benzin";"mercedes_benz";17;"mercedes_benz_a_klasse"
"251";15000;"cabrio";"manuell";120;40000;"benzin";"mini";6;"mini_cooper"
"252";13200;"limousine";"manuell";163;125000;"diesel";"volvo";6;"volvo_s60"
"253";8750;"kombi";"automatik";179;150000;"diesel";"audi";8;"audi_a6"
"254";13599;"kombi";"manuell";156;90000;"benzin";"mercedes_benz";8;"mercedes_benz_c_klasse"
"255";11500;"limousine";"manuell";140;125000;"diesel";"audi";6;"audi_a3"
"256";850;"kombi";"manuell";75;150000;"benzin";"seat";17;"seat_cordoba"
"257";6000;"limousine";"manuell";105;150000;"diesel";"volkswagen";9;"volkswagen_golf"
"258";3200;"kombi";"automatik";163;150000;"diesel";"bmw";15;"bmw_5er"
"259";1200;"kleinwagen";"manuell";150;150000;"benzin";"volkswagen";18;"volkswagen_golf"
"260";1200;"limousine";"manuell";110;150000;"benzin";"ford";14;"ford_mondeo"
"261";650;"kleinwagen";"manuell";58;150000;"benzin";"renault";16;"renault_twingo"
"262";1650;"limousine";"automatik";165;150000;"benzin";"mitsubishi";16;"mitsubishi_galant"
"263";680;"limousine";"manuell";75;150000;"benzin";"peugeot";17;"peugeot_2_reihe"
"264";850;"kleinwagen";"manuell";54;150000;"benzin";"opel";18;"opel_corsa"
"265";10850;"bus";"manuell";140;125000;"diesel";"ford";4;"ford_c_max"
"266";650;"limousine";"manuell";101;150000;"benzin";"opel";15;"opel_vectra"
"267";2150;"limousine";"manuell";136;150000;"benzin";"audi";28;"audi_100"
"268";18500;"kombi";"manuell";150;30000;"diesel";"volvo";2;"volvo_v40"
"269";7200;"kleinwagen";"manuell";80;70000;"benzin";"volkswagen";7;"volkswagen_polo"
"270";5850;"kleinwagen";"manuell";101;150000;"diesel";"volkswagen";10;"volkswagen_polo"
"271";1000;"kleinwagen";"manuell";75;1e+07;"benzin";"ford";18;"ford_fiesta"
"272";2499;"kombi";"manuell";166;150000;"benzin";"alfa_romeo";14;"alfa_romeo_156"
"273";3000;"suv";"manuell";78;150000;"diesel";"volkswagen";24;"volkswagen_transporter"
"274";8499;"kombi";"automatik";163;150000;"benzin";"mercedes_benz";12;"mercedes_benz_e_klasse"
"275";550;"limousine";"automatik";116;150000;"diesel";"bmw";20;"bmw_3er"
"276";890;"limousine";"manuell";116;125000;"benzin";"volkswagen";21;"volkswagen_passat"
"277";13900;"bus";"automatik";140;90000;"diesel";"volkswagen";8;"volkswagen_touran"
"278";1800;"kleinwagen";"manuell";54;150000;"benzin";"volkswagen";10;"volkswagen_fox"
"279";3999;"kombi";"manuell";150;1e+07;"diesel";"bmw";12;"bmw_3er"
"280";4200;"limousine";"manuell";170;150000;"benzin";"bmw";12;"bmw_3er"
"281";19500;"limousine";"automatik";235;30000;"benzin";"volkswagen";5;"volkswagen_golf"
"282";10500;"limousine";"automatik";230;150000;"benzin";"volkswagen";8;"volkswagen_golf"
"283";9499;"limousine";"automatik";232;150000;"diesel";"audi";9;"audi_a6"
"284";1200;"bus";"manuell";60;150000;"diesel";"volkswagen";24;"volkswagen_transporter"
"285";5600;"limousine";"manuell";200;150000;"benzin";"honda";13;"honda_civic"
"286";2800;"limousine";"manuell";90;150000;"diesel";"fiat";10;"fiat_punto"
"287";6200;"kombi";"automatik";150;150000;"diesel";"opel";9;"opel_vectra"
"288";3950;"limousine";"manuell";143;150000;"benzin";"bmw";12;"bmw_3er"
"289";11625;"kleinwagen";"manuell";71;5000;"benzin";"smart";0;"smart_fortwo"
"290";3000;"kombi";"automatik";265;150000;"benzin";"volvo";17;"volvo_v70"
"291";6050;"limousine";"automatik";238;150000;"benzin";"jaguar";12;"jaguar_s_type"
"292";1500;"kombi";"automatik";279;150000;"benzin";"mercedes_benz";20;"mercedes_benz_e_klasse"
"293";5990;"kleinwagen";"manuell";69;20000;"benzin";"fiat";4;"fiat_panda"
"294";8100;"kombi";"manuell";143;150000;"diesel";"bmw";8;"bmw_3er"
"295";15999;"limousine";"manuell";190;150000;"diesel";"audi";5;"audi_a6"
"296";1999;"kleinwagen";"manuell";50;150000;"benzin";"volkswagen";16;"volkswagen_polo"
"297";649;"kleinwagen";"manuell";50;125000;"benzin";"volkswagen";17;"volkswagen_polo"
"298";3850;"kombi";"automatik";170;150000;"diesel";"mercedes_benz";17;"mercedes_benz_e_klasse"
"299";8250;"kombi";"manuell";116;80000;"diesel";"hyundai";6;"hyundai_i_reihe"
"300";8950;"limousine";"manuell";122;1e+07;"benzin";"bmw";8;"bmw_1er"
"301";2000;"kleinwagen";"manuell";75;125000;"benzin";"renault";13;"renault_clio"
"302";3600;"kleinwagen";"manuell";109;150000;"diesel";"peugeot";9;"peugeot_2_reihe"
"303";15000;"kombi";"manuell";140;1e+07;"diesel";"volkswagen";5;"volkswagen_passat"
"304";7450;"suv";"automatik";250;150000;"diesel";"mercedes_benz";13;"mercedes_benz_m_klasse"
"305";16300;"coupe";"manuell";200;90000;"benzin";"audi";9;"audi_tt"
"306";8900;"limousine";"manuell";122;125000;"benzin";"bmw";6;"bmw_1er"
"307";2750;"limousine";"manuell";193;150000;"benzin";"mercedes_benz";19;"mercedes_benz_c_klasse"
"308";3800;"limousine";"manuell";75;125000;"benzin";"volkswagen";11;"volkswagen_polo"
"309";11500;"kombi";"manuell";110;1e+07;"diesel";"volkswagen";7;"volkswagen_passat"
"310";1699;"kleinwagen";"manuell";50;150000;"benzin";"volkswagen";16;"volkswagen_polo"
"311";1300;"limousine";"manuell";105;150000;"benzin";"volkswagen";16;"volkswagen_golf"
